epoch,accuracy,loss,val_accuracy,val_loss
0,0.6640310287475586,1.1074618101119995,0.9804134368896484,0.09139541536569595
1,0.8979069590568542,0.33675605058670044,0.9915762543678284,0.0387563519179821
2,0.9246640801429749,0.2499597817659378,0.9943152666091919,0.022892629727721214
3,0.9382299780845642,0.20448902249336243,0.9954004883766174,0.017854640260338783
4,0.947157621383667,0.17677779495716095,0.9966924786567688,0.01357331220060587
5,0.9510335922241211,0.16488201916217804,0.9963824152946472,0.01365746185183525
6,0.9545606970787048,0.15246237814426422,0.9962790608406067,0.011294287629425526
7,0.9566666483879089,0.14685013890266418,0.9961240291595459,0.012395568192005157
8,0.9597028493881226,0.1379188895225525,0.9967442154884338,0.010770317167043686
9,0.9596641063690186,0.13844844698905945,0.9974676966667175,0.008157431147992611
10,0.9617571234703064,0.13053426146507263,0.9975193738937378,0.008761736564338207
11,0.9634495973587036,0.12467994540929794,0.9978811144828796,0.007502292282879353
12,0.9636175632476807,0.12798619270324707,0.9977260828018188,0.008107288740575314
13,0.9645219445228577,0.12276310473680496,0.9981395602226257,0.00625495845451951
14,0.9643539786338806,0.1255233734846115,0.9979327917098999,0.007482126355171204
15,0.9669121503829956,0.11946715414524078,0.9979844689369202,0.008124873973429203
16,0.9667054414749146,0.11712750792503357,0.9972609877586365,0.008757369592785835
17,0.9654263854026794,0.12126263231039047,0.9980361461639404,0.007402224466204643
18,0.9668346047401428,0.1163351908326149,0.9976227283477783,0.009782242588698864
19,0.9666537642478943,0.11756683140993118,0.9975193738937378,0.010049019008874893
20,0.9674289226531982,0.11492753773927689,0.9975710511207581,0.00873192772269249
