epoch,accuracy,loss,val_accuracy,val_loss
0,0.7230910658836365,0.9321656823158264,0.9853488206863403,0.06398829072713852
1,0.9099031090736389,0.300398588180542,0.9915503859519958,0.030600611120462418
2,0.9315794706344604,0.23106320202350616,0.9945349097251892,0.018806684762239456
3,0.9406589269638062,0.1979297697544098,0.9951550364494324,0.015575072728097439
4,0.9486046433448792,0.17885272204875946,0.9968604445457458,0.012269235216081142
5,0.9521318078041077,0.16491305828094482,0.9968217015266418,0.009497866034507751
6,0.9541957378387451,0.1566127985715866,0.9964728951454163,0.011866067536175251
7,0.9578391313552856,0.1467021405696869,0.997364342212677,0.00797351635992527
8,0.9581976532936096,0.14406011998653412,0.9974806308746338,0.00831530336290598
9,0.9596124291419983,0.1420237123966217,0.9972093105316162,0.009715852327644825
10,0.9621317982673645,0.13137392699718475,0.9967442154884338,0.012647855095565319
11,0.9616666436195374,0.1335374116897583,0.9967442154884338,0.0096281124278903
12,0.962742269039154,0.13323265314102173,0.9991085529327393,0.004389890003949404
13,0.963875949382782,0.1281135082244873,0.9977131485939026,0.007341548800468445
14,0.9627810120582581,0.13098514080047607,0.9978682398796082,0.007268010172992945
15,0.9639244079589844,0.12947577238082886,0.9974418878555298,0.00903133675456047
16,0.9643120169639587,0.12865939736366272,0.9984496235847473,0.005494473502039909
17,0.9651550650596619,0.1273697167634964,0.9984883666038513,0.006079311482608318
18,0.9662112593650818,0.12385796010494232,0.9983720779418945,0.0066925049759447575
19,0.9640988111495972,0.13079679012298584,0.9979069828987122,0.007487122435122728
