epoch,accuracy,loss,val_accuracy,val_loss
0,0.8391860723495483,0.5573346614837646,0.9935917258262634,0.027937263250350952
1,0.972648561000824,0.08979696035385132,0.9961240291595459,0.014621040783822536
2,0.9834237694740295,0.05477814003825188,0.9971059560775757,0.012464910745620728
3,0.9863307476043701,0.04416260868310928,0.9979327917098999,0.008632181212306023
4,0.9882299900054932,0.03904725983738899,0.9982945919036865,0.006517405621707439
5,0.9892764687538147,0.03486626595258713,0.9978294372558594,0.010740275494754314
6,0.990323007106781,0.033380910754203796,0.9982945919036865,0.00858557689934969
7,0.9912144541740417,0.03130197897553444,0.9987080097198486,0.006222108379006386
8,0.9915503859519958,0.028798792511224747,0.9982429146766663,0.007225645240396261
9,0.9916796088218689,0.030001144856214523,0.9992247819900513,0.004614909179508686
10,0.9930749535560608,0.02540544606745243,0.9990697503089905,0.004898174665868282
11,0.9935529828071594,0.024881277233362198,0.9988630414009094,0.005114064086228609
12,0.9930103421211243,0.02662976086139679,0.9983462691307068,0.007540702819824219
13,0.9931912422180176,0.026576189324259758,0.9992764592170715,0.004465274512767792
14,0.9934108257293701,0.026865266263484955,0.9985013008117676,0.008302201516926289
15,0.9934883713722229,0.026222677901387215,0.9993281364440918,0.0034337483812123537
16,0.9939147233963013,0.024997513741254807,0.99896639585495,0.005937849637120962
17,0.9936692714691162,0.02897680178284645,0.9985529780387878,0.007770251482725143
18,0.9940310120582581,0.024155013263225555,0.9968992471694946,0.01769675314426422
19,0.9937467575073242,0.02833891659975052,0.9990697503089905,0.005282796919345856
20,0.993695080280304,0.027963750064373016,0.9988630414009094,0.0065749832428991795
21,0.993992269039154,0.028721461072564125,0.9993798732757568,0.006082375533878803
22,0.993992269039154,0.026694200932979584,0.9986563324928284,0.00981228332966566
23,0.9940310120582581,0.02805975452065468,0.998397946357727,0.011270830407738686
24,0.9937080144882202,0.031555648893117905,0.9985529780387878,0.007976043038070202
25,0.9940956234931946,0.028945155441761017,0.9989147186279297,0.007353207096457481
26,0.9943798184394836,0.02845262549817562,0.9992247819900513,0.006242562085390091
27,0.9947803616523743,0.02458033710718155,0.9994315505027771,0.004739423748105764
28,0.9949612617492676,0.02621614746749401,0.9986563324928284,0.009624909609556198
29,0.9937984347343445,0.03557517006993294,0.9991214275360107,0.008326317183673382
